"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè pri pravnih osebah po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Bruto plaèa Plaèa za mesec [EUR]"
"SKD Dejavnost - SKUPAJ","2014M01",1539.93
"SKD Dejavnost - SKUPAJ","2014M02",1525.86
"SKD Dejavnost - SKUPAJ","2014M03",1531.61
"SKD Dejavnost - SKUPAJ","2014M04",1536.79
"SKD Dejavnost - SKUPAJ","2014M05",1536.96
"SKD Dejavnost - SKUPAJ","2014M06",1526.81
"SKD Dejavnost - SKUPAJ","2014M07",1540.93
"SKD Dejavnost - SKUPAJ","2014M08",1522.25
"SKD Dejavnost - SKUPAJ","2014M09",1524.59
"SKD Dejavnost - SKUPAJ","2014M10",1548.91
"SKD Dejavnost - SKUPAJ","2014M11",1638.63
"SKD Dejavnost - SKUPAJ","2014M12",1571.46
"SKD Dejavnost - SKUPAJ","2015M01",1543.32
"SKD Dejavnost - SKUPAJ","2015M02",1521.23
"SKD Dejavnost - SKUPAJ","2015M03",1555.74
"SKD Dejavnost - SKUPAJ","2015M04",1549.33
"SKD Dejavnost - SKUPAJ","2015M05",1533.09
"SKD Dejavnost - SKUPAJ","2015M06",1544.46
"SKD Dejavnost - SKUPAJ","2015M07",1546.44
"SKD Dejavnost - SKUPAJ","2015M08",1528.89
"SKD Dejavnost - SKUPAJ","2015M09",1526.54
"SKD Dejavnost - SKUPAJ","2015M10",1545.18
"SKD Dejavnost - SKUPAJ","2015M11",1679.41
"SKD Dejavnost - SKUPAJ","2015M12",1594.93
"SKD Dejavnost - SKUPAJ","2016M01",1559.79
"SKD Dejavnost - SKUPAJ","2016M02",1574.22
"SKD Dejavnost - SKUPAJ","2016M03",1593.27
"SKD Dejavnost - SKUPAJ","2016M04",1571.12
"SKD Dejavnost - SKUPAJ","2016M05",1561.26
"SKD Dejavnost - SKUPAJ","2016M06",1564.49
"SKD Dejavnost - SKUPAJ","2016M07",1549.78
"SKD Dejavnost - SKUPAJ","2016M08",1571.30
"SKD Dejavnost - SKUPAJ","2016M09",1558.29
"SKD Dejavnost - SKUPAJ","2016M10",1567.99
"SKD Dejavnost - SKUPAJ","2016M11",1687.64
"SKD Dejavnost - SKUPAJ","2016M12",1653.67
"SKD Dejavnost - SKUPAJ","2017M01",1592.15
"SKD Dejavnost - SKUPAJ","2017M02",1581.37
"SKD Dejavnost - SKUPAJ","2017M03",1623.57
"SKD Dejavnost - SKUPAJ","2017M04",1591.01
"SKD Dejavnost - SKUPAJ","2017M05",1613.73
"SKD Dejavnost - SKUPAJ","2017M06",1602.21
"SKD Dejavnost - SKUPAJ","2017M07",1593.10
"SKD Dejavnost - SKUPAJ","2017M08",1613.62
"SKD Dejavnost - SKUPAJ","2017M09",1604.38
"SKD Dejavnost - SKUPAJ","2017M10",1621.46
"SKD Dejavnost - SKUPAJ","2017M11",1756.95
"SKD Dejavnost - SKUPAJ","2017M12",1723.13
"SKD Dejavnost - SKUPAJ","2018M01",1659.27
"SKD Dejavnost - SKUPAJ","2018M02",1638.00
"SKD Dejavnost - SKUPAJ","2018M03",1670.69
"SKD Dejavnost - SKUPAJ","2018M04",1664.19
"SKD Dejavnost - SKUPAJ","2018M05",1663.23
"SKD Dejavnost - SKUPAJ","2018M06",1654.00
"SKD Dejavnost - SKUPAJ","2018M07",1650.84
"SKD Dejavnost - SKUPAJ","2018M08",1669.51
"SKD Dejavnost - SKUPAJ","2018M09",1632.88
"SKD Dejavnost - SKUPAJ","2018M10",1676.38
"SKD Dejavnost - SKUPAJ","2018M11",1812.73
"SKD Dejavnost - SKUPAJ","2018M12",1782.12
"SKD Dejavnost - SKUPAJ","2019M01",1729.15
"SKD Dejavnost - SKUPAJ","2019M02",1714.49
"SKD Dejavnost - SKUPAJ","2019M03",1752.34
"SKD Dejavnost - SKUPAJ","2019M04",1730.70
"SKD Dejavnost - SKUPAJ","2019M05",1728.12
"SKD Dejavnost - SKUPAJ","2019M06",1717.78
"SKD Dejavnost - SKUPAJ","2019M07",1737.42
"SKD Dejavnost - SKUPAJ","2019M08",1725.91
"SKD Dejavnost - SKUPAJ","2019M09",1712.11
"SKD Dejavnost - SKUPAJ","2019M10",1741.70
"SKD Dejavnost - SKUPAJ","2019M11",1897.90
"SKD Dejavnost - SKUPAJ","2019M12",1855.25
"SKD Dejavnost - SKUPAJ","2020M01",1806.50
"SKD Dejavnost - SKUPAJ","2020M02",1799.66
"SKD Dejavnost - SKUPAJ","2020M03",1758.27
"SKD Dejavnost - SKUPAJ","2020M04",1937.21
"SKD Dejavnost - SKUPAJ","2020M05",1892.31
"SKD Dejavnost - SKUPAJ","2020M06",1812.72
"SKD Dejavnost - SKUPAJ","2020M07",1811.28
"SKD Dejavnost - SKUPAJ","2020M08",1812.66
"SKD Dejavnost - SKUPAJ","2020M09",1799.07
"SKD Dejavnost - SKUPAJ","2020M10",1821.44
"SKD Dejavnost - SKUPAJ","2020M11",2027.21
"SKD Dejavnost - SKUPAJ","2020M12",2021.21
"SKD Dejavnost - SKUPAJ","2021M01",1977.20
"SKD Dejavnost - SKUPAJ","2021M02",1946.07
"SKD Dejavnost - SKUPAJ","2021M03",2009.50
"SKD Dejavnost - SKUPAJ","2021M04",1994.67
"SKD Dejavnost - SKUPAJ","2021M05",2007.80
"SKD Dejavnost - SKUPAJ","2021M06",1952.05
"SKD Dejavnost - SKUPAJ","2021M07",1940.69
"SKD Dejavnost - SKUPAJ","2021M08",1900.43
"SKD Dejavnost - SKUPAJ","2021M09",1872.92
"SKD Dejavnost - SKUPAJ","2021M10",1886.48
"SKD Dejavnost - SKUPAJ","2021M11",2084.38
"SKD Dejavnost - SKUPAJ","2021M12",2064.12
"SKD Dejavnost - SKUPAJ","2022M01",1923.92
"SKD Dejavnost - SKUPAJ","2022M02",1927.08
"SKD Dejavnost - SKUPAJ","2022M03",2007.92
"SKD Dejavnost - SKUPAJ","2022M04",2001.93
"SKD Dejavnost - SKUPAJ","2022M05",1989.53
"SKD Dejavnost - SKUPAJ","2022M06",2007.64
"SKD Dejavnost - SKUPAJ","2022M07",2002.27
"SKD Dejavnost - SKUPAJ","2022M08",2007.94
"SKD Dejavnost - SKUPAJ","2022M09",1986.82
"SKD Dejavnost - SKUPAJ","2022M10",2024.03
"SKD Dejavnost - SKUPAJ","2022M11",2244.35
"SKD Dejavnost - SKUPAJ","2022M12",2159.40
"SKD Dejavnost - SKUPAJ","2023M01",2144.72
"SKD Dejavnost - SKUPAJ","2023M02",2132.58
"SKD Dejavnost - SKUPAJ","2023M03",2191.85
"SKD Dejavnost - SKUPAJ","2023M04",2181.70
"SKD Dejavnost - SKUPAJ","2023M05",2208.15
"SKD Dejavnost - SKUPAJ","2023M06",2205.81
